City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1490256,Talnakh,RU,69.4865,88.3972,33.06,100,100,4.63
4944903,Nantucket,US,41.2835,-70.0995,60.94,82,1,5.75
1175296,Kalat,PK,29.0225,66.5916,58.91,16,0,5.84
1267776,Kargil,IN,34.5667,76.1,43.92,30,0,2.82
1272502,Diu,IN,20.7141,70.9822,82.72,77,94,4.14
1622318,Waingapu,ID,-9.6567,120.2641,86.05,56,84,6.96
2121385,Severo-Kuril'sk,RU,50.6789,156.125,48.4,75,100,18.75
3652764,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,98,7.0
1053384,Toamasina,MG,-18.1667,49.3833,69.76,86,88,13.22
2999908,Les Ponts-de-Cé,FR,47.4231,-0.5248,50.09,95,60,6.06
2110227,Butaritari,KI,3.0707,172.7902,82.83,66,15,13.62
2464701,Tataouine,TN,32.9297,10.4518,68.88,67,3,6.67
986717,Kruisfontein,ZA,-34.0033,24.7314,64.89,56,100,11.45
3671437,Caucayá,CO,-0.1934,-74.7819,71.38,94,34,1.97
1006984,East London,ZA,-33.0153,27.9116,66.6,93,100,12.06
4021858,Guerrero Negro,MX,27.9769,-114.0611,70.66,75,97,18.66
2206939,Bluff,NZ,-46.6,168.3333,56.8,75,100,15.28
6148373,Sioux Lookout,CA,50.1001,-91.917,66.27,72,75,6.91
2028164,Deputatsky,RU,69.3,139.9,22.62,69,100,6.53
1571058,Phan Thiet,VN,10.9333,108.1,81.63,79,100,11.18
2094342,Kavieng,PG,-2.5744,150.7967,84.02,68,83,3.38
2214432,Nālūt,LY,30.3333,10.85,68.11,64,0,11.72
3893629,Coquimbo,CL,-29.9533,-71.3436,54.46,80,100,6.8
1737486,Bintulu,MY,3.1667,113.0333,83.91,79,20,3.0
935215,Saint-Philippe,RE,-21.3585,55.7679,65.86,79,21,8.63
5282297,Bethel,US,41.3712,-73.414,58.6,91,1,3.44
2022572,Khatanga,RU,71.9667,102.5,20.01,96,100,7.38
1633419,Padang,ID,-0.9492,100.3543,78.85,71,87,1.86
2136825,Isangel,VU,-19.55,169.2667,80.71,57,20,11.5
3354077,Opuwo,NA,-18.0607,13.84,66.27,25,0,3.4
1621313,Ambulu,ID,-8.345,113.6058,82.8,62,11,5.95
6355222,Yulara,AU,-25.2406,130.9889,80.44,34,0,12.66
3443061,Chui,UY,-33.6971,-53.4616,47.3,79,6,6.11
2141305,Fayaoué,NC,-20.65,166.5333,73.35,64,0,14.56
778707,Mehamn,NO,71.0357,27.8492,40.03,68,100,25.61
1620254,Ban Chang,TH,12.7254,101.0553,82.78,90,20,0.0
1635815,Maumere,ID,-8.6199,122.2111,85.37,63,63,3.02
3412888,Stykkisholmur,IS,65.0757,-22.7297,42.4,91,100,26.17
780687,Berlevåg,NO,70.8578,29.0864,40.41,69,94,29.97
3394023,Natal,BR,-5.795,-35.2094,80.82,83,40,10.36
2160910,Kyabram,AU,-36.3167,145.05,68.88,45,50,6.64
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,66.13,80,75,10.36
2063036,Port Lincoln,AU,-34.7333,135.8667,65.89,37,100,13.76
211647,Lodja,CD,-3.4833,23.4333,68.54,89,50,2.48
4032243,Vaini,TO,-21.2,-175.2,82.56,78,20,4.61
5880054,Barrow,US,71.2906,-156.7887,33.82,75,90,9.22
3408424,Ipixuna,BR,-1.7625,-48.8043,78.75,88,37,6.11
3899695,Ancud,CL,-41.8697,-73.8203,45.93,90,1,3.98
2454268,Koutiala,ML,12.3917,-5.4642,79.95,61,70,6.4
2562247,Marsaxlokk,MT,35.8419,14.5431,68.61,68,20,12.66
5962442,Goderich,CA,43.7501,-81.7165,63.14,94,100,3.44
3134016,Tretten,NO,61.3142,10.3007,46.15,99,100,4.63
3424607,Tasiilaq,GL,65.6145,-37.6368,35.76,53,19,8.9
